amount,age,target,email
5883.91,46,0,client0@example.com
4118.23,33,1,client1@example.com
3108.96,55,1,client2@example.com
5337.12,18,1,client3@example.com
5716.82,32,1,client4@example.com
379.58,39,1,client5@example.com
2218.24,60,1,client6@example.com
4899.18,64,1,client7@example.com
5182.28,48,1,client8@example.com
4309.46,44,1,client9@example.com
962.68,45,1,client10@example.com
3758.81,73,1,client11@example.com
6092.94,80,1,client12@example.com
639.45,64,1,client13@example.com
7768.89,33,1,client14@example.com
4872.94,26,1,client15@example.com
2579.05,33,1,client16@example.com
770.93,69,1,client17@example.com
4997.9,21,1,client18@example.com
4911.23,18,1,client19@example.com
8344.67,72,1,client20@example.com
3717.09,48,1,client21@example.com
3669.26,21,1,client22@example.com
119.18,42,1,client23@example.com
7078.23,47,1,client24@example.com
6299.66,64,1,client25@example.com
5046.34,63,0,client26@example.com
1790.09,31,1,client27@example.com
5254.7,52,1,client28@example.com
2891.08,21,1,client29@example.com
4575.37,72,1,client30@example.com
606.23,50,1,client31@example.com
1753.84,56,1,client32@example.com
7770.19,43,1,client33@example.com
8023.56,33,1,client34@example.com
453.7,23,1,client35@example.com
5294.68,51,1,client36@example.com
2420.81,60,1,client37@example.com
2224.3,43,1,client38@example.com
5844.96,47,1,client39@example.com
6791.59,22,1,client40@example.com
5628.32,54,1,client41@example.com
752.02,31,0,client42@example.com
1278.86,40,1,client43@example.com
7925.51,41,1,client44@example.com
3999.84,52,1,client45@example.com
5543.93,69,1,client46@example.com
169.63,70,1,client47@example.com
8392.63,24,1,client48@example.com
1295.19,25,1,client49@example.com
6707.51,27,1,client50@example.com
5482.99,63,1,client51@example.com
6218.72,72,1,client52@example.com
4447.93,75,1,client53@example.com
552.11,58,1,client54@example.com
2562.45,18,1,client55@example.com
1264.29,80,1,client56@example.com
6696.96,53,1,client57@example.com
5092.07,25,1,client58@example.com
7959.65,75,1,client59@example.com
